,str_player_name,str_positions,dt_date_of_birth,int_best_overall_rating,age,new_column,new_column_plus
3524,Benoît Badiashile Mukinayi,CB,2001-03-26,74,20,1,6
3525,Denys Bain,CB,1993-07-02,74,28,1,6
3526,Kévin N'Doram,"CDM, CM",1996-01-22,74,25,1,6
3527,Yari Verschaeren,"CAM, RW, LW",2001-07-12,74,20,1,6
3528,André Felipe Ribeiro de Souza,ST,1990-09-27,72,30,1,6
3529,Ciprian Ioan Deac,RW,1986-02-16,73,35,1,6
3530,Braian José Samudio Segovia,"LM, RM",1995-12-23,73,25,1,6
3531,Vladyslav Supriaha,ST,2000-02-15,74,21,1,6
3532,David Timor Copoví,"CM, CDM, CB",1989-10-17,72,31,1,6
3533,Mats Møller Dæhli,"CAM, LM, CM",1995-03-02,74,26,1,6
3534,Maxime Poundjé,LB,1992-08-16,72,29,1,6
3535,Fredy Hinestroza Arias,"LM, RM",1990-04-05,72,31,1,6
3536,Roger Beyker Martínez Tobinson,"ST, LM, RM",1994-06-23,74,27,1,6
3537,Konstantin Kuchaev,LM,1998-03-18,73,23,1,6
3538,André Hahn,"RM, ST",1990-08-13,73,31,1,6
3539,Stefano Sturaro,CM,1993-03-09,76,28,1,6
3540,Marlon Santos da Silva Barbosa,CB,1995-09-07,74,25,1,6
3541,Juan Torres Ruiz,CB,1989-11-26,72,31,1,6
3542,Kenny McLean,"CM, CDM",1992-01-08,72,29,1,6
3543,Carlos Joel Salcedo Hernández,"CB, RB",1993-09-29,74,27,1,6
3544,Jorge Luis Rojas Meza,"RM, RW",1993-01-07,73,28,1,6
3545,Anastasios Chatzigiovanis,"LM, RM",1997-05-31,73,24,1,6
3546,Moritz Leitner,"CM, CDM",1992-12-08,73,28,1,6
3547,Filippo Falco,"CAM, CF",1992-02-11,72,29,1,6
3548,Lucas Hernán Villalba,LB,1994-08-19,73,27,1,6
3549,Josh Maja,ST,1998-12-27,74,22,1,6
3550,Matej Mitrović,CB,1993-11-10,74,27,1,6
3551,Phil Jagielka,CB,1982-08-17,72,39,1,6
3552,Joevin Jones,"LM, LB",1991-08-03,72,30,1,6
3553,Connor Lambert Goldson,CB,1992-12-18,74,28,1,6
3554,Larrys Mabiala Destin,CB,1987-10-08,72,33,1,6
3555,Rúben Alexandre Rocha Lima,"LWB, CB",1989-10-03,72,31,1,6
3556,Fábio Rafael Rodrigues Cardoso,CB,1994-04-19,74,27,1,6
3557,Leonardo Felipe Valencia Rossel,"CAM, ST, LW",1991-04-25,72,30,1,6
3558,Artem Shabanov,CB,1992-03-07,74,29,1,6
3559,Richard Hernán Schunke,CB,1991-11-26,73,29,1,6
3560,Cauê Cecilio da Silva,CDM,1989-05-24,73,32,1,6
3561,Gastón Brugman,"CM, CDM",1992-09-07,72,28,1,6
3562,Paul Ebere Onuachu,ST,1994-05-28,74,27,1,6
3563,Antonio Jesús Regal Angulo,"RB, RM, RWB",1987-12-24,72,33,1,6
3564,Carlo Pinsoglio,GK,1990-03-16,72,31,1,6
3565,Fabrice N'Sakala,"LB, LM",1990-07-21,72,31,1,6
3566,Igor Rossi Branco,CB,1989-03-10,72,32,1,6
3567,Florian Sotoca,"ST, RM",1990-10-25,72,30,1,6
3568,Romain Amalfitano,"CM, CDM",1989-08-27,72,31,1,6
3569,Tom Trybull,CDM,1993-03-09,72,28,1,6
3570,Renato Civelli,CB,1983-10-14,72,37,1,6
3571,Héctor David Martínez,CB,1998-01-21,74,23,1,6
3572,Bryan Pelé,"LM, RM, CM",1992-03-25,72,29,1,6
3573,Lukáš Štetina,CB,1991-07-28,73,30,1,6
3574,Alan Pulido Izaguirre,ST,1991-03-08,72,30,1,6
3575,Stefan Marius Johansen,"CM, CDM",1991-01-08,72,30,1,6
3576,Carlos Armando Gruezo Arboleda,"CDM, CM",1995-04-19,73,26,1,6
3577,Joan Sastre Vanrell,"RB, LB",1997-04-30,72,24,1,6
3578,Eirik Hestad,RM,1995-06-26,73,26,1,6
3579,Marcel Hartel,"CAM, CM, LW",1996-01-19,74,25,1,6
3580,Marvin Ducksch,ST,1994-03-07,74,27,1,6
3581,Ulisses Alexandre Garcia Lopes,"LB, LM",1996-01-11,72,25,1,6
3582,Javier Galán Gil,LB,1994-11-19,72,26,1,6
3583,Alberto Bueno Calvo,CAM,1988-03-20,72,33,1,6
3584,Cristian Gabriel Rodríguez Barrotti,"CAM, LM, CM",1985-09-30,72,35,1,6
3585,Sebastian Prödl,CB,1987-06-21,72,34,1,6
3586,Juan Carlos Martín Corral,GK,1988-01-20,72,33,1,6
3587,Manuel Riemann,GK,1988-09-09,72,32,1,6
3588,Ismaël Tiémoko Diomandé,"CDM, CB",1992-08-28,72,28,1,6
3589,Diego Lainez Leyva,"RM, CM, CAM",2000-06-09,73,21,1,6
3590,Juan Ferney Otero Tovar,"RM, ST, RW",1995-05-26,75,26,1,6
3591,Aziz Behich,LB,1990-12-16,72,30,1,6
3592,Timo Letschert,CB,1993-05-25,74,28,1,6
3593,André Mikael Milazar Santoso,GK,1996-02-29,72,25,1,6
3594,Joe Ralls,"CM, CDM",1993-10-13,73,27,1,6
3595,Marc Navarro Ceciliano,"RB, RWB",1995-07-02,72,26,1,6
3596,Guðlaugur Victor Pálsson,"CDM, CB, CM",1991-04-30,72,30,1,6
3597,Mubarak Wakaso,"CM, LM",1990-07-25,75,31,1,6
3598,Ömer Bayram,"CM, LB, LM",1991-07-27,73,30,1,6
3599,Sammy Bossut,GK,1985-08-11,72,36,1,6
3600,Davide Biraschi,"CB, RB",1994-07-02,74,27,1,6
3601,Ozan Tufan,"CM, CDM, RB",1995-03-23,75,26,1,6
3602,Jorge Pietro Teixeira Lima,CB,2000-02-29,72,21,1,6
3603,Mouctar Diakhaby,CB,1996-12-19,74,24,1,6
3604,Clément Jerome Michelin,"RWB, RB",1997-05-11,72,24,1,6
3605,Cédric Jan Itten,"ST, CAM",1996-12-27,74,24,1,6
3606,Sten Michael Grytebust,GK,1989-10-25,72,31,1,6
3607,Abdalla Mahmoud El Said Bekhit,"CAM, RM",1985-07-13,72,36,1,6
3608,Vincent Pajot,CM,1990-08-19,73,31,1,6
3609,Peter Svarrer Ankersen,"RB, RM",1990-09-22,72,30,1,6
3610,Daniel Eduardo Bocanegra Ortíz,"CB, RB",1987-04-23,72,34,1,6
3611,Yamil Rodrigo Asad,"LM, CAM",1994-07-27,72,27,1,6
3612,Joshua Risdon,"RWB, RB",1992-07-27,72,29,1,6
3613,Callum Robinson,"ST, LM, LW",1995-02-02,74,26,1,6
3614,Deni Milošević,"LM, CAM, CM",1995-03-09,73,26,1,6
3615,Federico Andrés Mancuello,"CM, CAM, LM",1989-03-26,72,32,1,6
3616,Glenn Bijl,"RB, CM",1995-07-13,72,26,1,6
3617,Marc Rzatkowski,"CM, CDM",1990-03-02,72,31,1,6
3618,Enock Kwateng,"RB, RM",1997-04-09,72,24,1,6
3619,Mustapha Bundu,RW,1997-02-28,73,24,1,6
3620,大島 僚太,"CM, CDM",1993-01-23,73,28,1,6
3621,Roland Sallai,"RM, LM",1997-05-22,73,24,1,6
3622,Stefano Denswil,"CB, LB",1993-05-07,74,28,1,6
3623,Daniel Crowley,"RM, CAM, CM",1997-08-03,73,24,1,6
3624,Edward Nketiah,ST,1999-05-30,74,22,1,6
3625,Cláudio Falcão Santos,"CM, CB, CDM",1994-07-03,75,27,1,6
3626,Lucas Martín Villafáñez,"RM, CAM",1991-10-04,72,29,1,6
3627,Sandro César Cordovil de Lima,ST,1990-10-28,72,30,1,6
3628,Nahki Wells,ST,1990-06-01,72,31,1,6
3629,Alexander Domínguez Carabalí,GK,1987-06-05,72,34,1,6
3630,Makhete Diop,ST,1987-07-08,72,34,1,6
3631,Rodrigo Salinas Dorantes,"RB, LB",1988-05-09,72,33,1,6
3632,Oscar Hiljemark,"CM, CDM",1992-06-28,72,29,1,6
3633,Cristian Emanuel Bălgrădean,GK,1988-03-21,72,33,1,6
3634,Manuel Morlanes Ariño,"CM, CDM",1999-01-12,74,22,1,6
3635,Ayron Del Valle Rodríguez,"ST, RM",1989-01-27,72,32,1,6
3636,Valentín Vada,"CDM, CM, CAM",1996-03-06,74,25,1,6
3637,Ravel Morrison,"CAM, CM",1993-02-02,72,28,1,6
3638,Oihan Sancet Tirapu,CAM,2000-04-25,74,21,1,6
3639,Alexis De Sart,"CDM, CM, CAM",1996-11-12,74,24,1,6
3640,Antolín Alcáraz Viveros,CB,1982-07-30,72,39,1,6
3641,Antonio José Raíllo Arenas,CB,1991-08-10,73,30,1,6
3642,João Pedro Reis Amaral,"RM, RW",1991-09-07,72,29,1,6
3643,Mert Hakan Yandaş,"CAM, CM",1994-08-19,74,27,1,6
3644,Patrick Bamford,ST,1993-09-05,73,27,1,6
3645,Hélder Filipe Oliveira Lopes,"LB, LWB, LM",1989-01-04,72,32,1,6
3646,Philipp Lienhart,CB,1996-07-11,74,25,1,6
3647,Matías Alejandro Ibáñez Basualdo,GK,1986-12-16,72,34,1,6
3648,Julien Ariel De Sart,"CM, CDM, CAM",1994-12-23,74,26,1,6
3649,Jhonder Leonel Cádiz Fernández,ST,1995-07-29,74,26,1,6
3650,Alexander Hack,CB,1993-09-08,74,27,1,6
3651,Fredy Henkyer Montero Muñoz,"ST, CF, LW",1987-07-26,72,34,1,6
3652,Reggie Jacob Cannon,RB,1998-06-11,72,23,1,6
3653,Perparim Hetemaj,CM,1986-12-12,74,34,1,6
3654,Lukas Jutkiewicz,ST,1989-03-28,72,32,1,6
3655,Michael Hector,CB,1992-07-19,74,29,1,6
3656,Chanathip Songkrasin,"CF, CAM",1993-10-05,75,27,1,6
3657,Kortney Hause,"CB, LB",1995-07-16,74,26,1,6
3658,Jérôme Prior,GK,1995-08-08,72,26,1,6
3659,Petar Stojanović,"RB, RM",1995-10-07,73,25,1,6
3660,Vito Nova Wormgoor,CB,1988-11-16,72,32,1,6
3661,Mathias Autret,"CAM, LM",1991-03-01,72,30,1,6
3662,Stephen Antunes Eustáquio,"CDM, CM",1996-12-21,73,24,1,6
3663,Virgil Misidjan,"RM, LM",1993-07-24,72,28,1,6
3664,Romain Jules Salin,GK,1984-07-29,72,37,1,6
3665,Alexis Martín Arias,GK,1992-07-04,72,29,1,6
3666,Maycon de Andrade Barberan,CM,1997-07-13,74,24,1,6
3667,Albert Vallci,"RB, CB, LB",1995-07-02,72,26,1,6
3668,Rúben Diogo Francisco Freitas,RB,1993-01-02,72,28,1,6
3669,Flávio Raphael Rebeilo Mestres,LB,1992-02-29,72,29,1,6
3670,Pedro González López,"LM, CAM, CM",2002-11-25,75,18,1,6
3671,Lukas Kübler,RB,1992-08-30,72,28,1,6
3672,Aldo Paul Rocha González,"CM, CDM",1992-11-06,74,28,1,6
3673,Ibrahim Sissoko,RM,1991-11-29,72,29,1,6
3674,Aleksandr Tashaev,"LM, LW, RM",1994-06-23,72,27,1,6
3675,Roman Bezus,"CAM, CM",1990-09-26,72,30,1,6
3676,Pascal Stenzel,"RB, CB",1996-03-20,74,25,1,6
3677,Ricardo José Vaz Alves Monteiro,"CM, CDM",1983-10-07,72,37,1,6
3678,Henk Veerman,ST,1991-02-26,72,30,1,6
3679,Soslan Dzhanaev,GK,1987-03-13,72,34,1,6
3680,David Marshall,GK,1985-03-05,72,36,1,6
3681,Florian Tardieu,"CDM, CM",1992-04-22,72,29,1,6
3682,Raúl Alberto Loaiza Morelos,"CDM, CM, CB",1994-06-08,73,27,1,6
3683,Jimmy Cabot,RM,1994-04-18,73,27,1,6
3684,Phillipp Mwene,"RB, RM, RWB",1994-01-29,73,27,1,6
3685,Iván Alejandro Gómez,"CDM, CM",1997-02-28,73,24,1,6
3686,Benjamín Kuscevic Jaramillo,CB,1996-05-02,74,25,1,6
3687,Andrea Cistana,CB,1997-04-01,74,24,1,6
3688,Joaquín Marcelo Laso,"CB, RB",1990-07-04,72,31,1,6
3689,Haris Hajradinović,"CAM, CM",1994-02-18,74,27,1,6
3690,Arnaud Bodart,GK,1998-03-11,72,23,1,6
3691,Adam Hloušek,"LB, LM",1988-12-20,72,32,1,6
3692,Diego Martín Rodríguez Berrini,"CDM, CM",1989-09-04,72,31,1,6
3693,Marko Tolić,"CAM, LW, RW",1996-07-05,74,25,1,6
3694,Timm Klose,CB,1988-05-09,72,33,1,6
3695,Kerim Frei Koyunlu,"LM, RM",1993-11-19,73,27,1,6
3696,Ahmed Hegazi,CB,1991-01-25,73,30,1,6
3697,Nicolas Höfler,"CDM, CM",1990-03-09,72,31,1,6
3698,Jean-David Beauguel,ST,1992-03-21,72,29,1,6
3699,Cyle Larin,ST,1995-04-17,74,26,1,6
3700,Mathew Allan Leckie,"RM, LM",1991-02-04,72,30,1,6
3701,Lucas Ariel Rodríguez,"LM, CAM, LB",1997-04-27,73,24,1,6
3702,Rodrigo Nahuel Amaral Pereira,CAM,1997-03-25,74,24,1,6
3703,Juan Cruz Komar,CB,1996-08-13,74,25,1,6
3704,Ryan Manning,"LB, CM",1996-06-14,72,25,1,6
3705,Hannes Van Der Bruggen,"CDM, CM",1993-04-01,74,28,1,6
3706,Ryan Bennett,CB,1990-03-06,72,31,1,6
3707,Mike Trésor Ndayishimiye,"CAM, LW",1999-05-28,74,22,1,6
3708,Bartosz Białkowski,GK,1987-07-06,72,34,1,6
3709,Tony Josimar Mutto Abrão,"RB, RWB, RM",1996-02-29,72,25,1,6
3710,Matías Aguirregaray Guruceaga,"RB, LB",1989-04-01,72,32,1,6
3711,Craig Alexander Goodwin,"LM, LW",1991-12-16,72,29,1,6
3712,Marco Höger,"CDM, CM",1989-09-16,72,31,1,6
3713,Scott Bain,GK,1991-11-22,72,29,1,6
3714,Christian Walton,GK,1995-11-09,72,25,1,6
3715,Mark Diemers,"CAM, CM, LW",1993-10-11,74,27,1,6
3716,Sergi Palencia Hurtado,RB,1996-03-23,73,25,1,6
3717,Durval Murilo Dutría Pereira,CM,1992-02-29,72,29,1,6
3718,Christopher Antwi-Adjej,"LM, RM",1994-02-07,72,27,1,6
3719,Mauro Alberto Díaz,"CAM, LW",1991-03-10,72,30,1,6
3720,Youssoufou Niakaté,ST,1992-12-16,73,28,1,6
3721,Gastón Nicolás Reniero,"ST, CAM",1995-03-18,74,26,1,6
3722,Kevin Rüegg,"RB, RM, CM",1998-08-05,72,23,1,6
3723,Brayan Alexis Angulo León,"LB, LWB",1989-11-02,72,31,1,6
3724,Bartolomé Nadal Mesquida,GK,1989-02-08,72,32,1,6
3725,Ivo Daniel Ferreira Mendonça Pinto,RB,1990-01-07,72,31,1,6
3726,Jordon Ibe,"RM, RW",1995-12-08,73,25,1,6
3727,Judilson Mamadu Tuncará Gomes,"CDM, CM",1991-09-29,72,29,1,6
3728,Emmanouil Siopis,"CDM, CM",1994-05-14,74,27,1,6
3729,Konstantinos Galanopoulos,"CDM, CM",1997-12-28,73,23,1,6
3730,Aurélien Tchouaméni,CM,2000-01-27,74,21,1,6
3731,Marko Jevtović,"CDM, CB",1993-07-24,73,28,1,6
3732,Hichem Boudaoui,"CM, RM",1999-09-23,74,21,1,6
3733,António Manuel Pereira Xavier,"LW, RW",1992-07-06,72,29,1,6
3734,Deiverson Breno Kaio de Freitas,CAM,1984-02-29,73,37,1,6
3735,Arnaud Nordin,"LM, RM",1998-06-17,73,23,1,6
3736,José Joaquín Martínez Valadez,RB,1987-02-22,72,34,1,6
3737,Avilés Hurtado Herrera,"LW, ST, RW",1987-04-20,72,34,1,6
3738,Zsolt Kalmár,"CAM, CM",1995-06-09,74,26,1,6
3739,Mario Vrančić,"CM, CDM, CAM",1989-05-23,72,32,1,6
3740,Kingsley Schindler,"RM, ST",1993-07-12,72,28,1,6
3741,Brahian Milton Alemán Athaydes,"CAM, LM, ST",1989-12-23,72,31,1,6
3742,Manuel García Alonso,"CAM, ST",1998-01-02,74,23,1,6
3743,冨安 健洋,"CB, RB",1998-11-05,74,22,1,6
3744,Ignatius Kpene Ganago,"ST, RW, LW",1999-02-16,74,22,1,6
3745,Sékou Koïta,ST,1999-11-28,74,21,1,6
3746,Rubén Pardo Gutiérrez,"CM, CAM, CDM",1992-10-22,72,28,1,6
3747,Djamel Eddine Benlamri,"CB, CDM",1989-12-25,72,31,1,6
3748,Gustavo Adrián Ramos Vásquez,ST,1986-01-22,72,35,1,6
3749,Oğulcan Çağlayan,"RM, LM, CAM",1996-03-22,73,25,1,6
3750,Oussama Haddadi,LB,1992-01-28,72,29,1,6
3751,Nikola Storm,LM,1994-09-30,72,26,1,6
3752,Raúl Manolo Gudiño Vega,GK,1996-04-22,72,25,1,6
3753,Alessio Castro-Montes,"RB, LB",1997-05-17,73,24,1,6
3754,Alberto de la Bella Madureño,LB,1985-12-02,72,35,1,6
3755,Marcel Alejandro Ruiz Suárez,CM,2000-10-26,74,20,1,6
3756,Bobby De Cordova-Reid,"ST, LW, CAM",1993-02-02,75,28,1,6
3757,Emmanuel García Vaca,LB,1989-12-28,72,31,1,6
3758,Salih Uçan,"CM, CAM",1994-01-06,74,27,1,6
3759,Mauricio Leonel Martínez,"CB, CDM, CM",1993-02-20,74,28,1,6
3760,Luis Gustavo Melere da Silva,"RM, LM",1991-03-10,72,30,1,6
3761,Eljif Elmas,CM,1999-09-24,75,21,1,6
3762,Demba Ba,ST,1985-05-25,72,36,1,6
3763,Jamilu Collins,LB,1994-08-05,72,27,1,6
3764,Daniel Santos Bragança,"CAM, CM",1999-05-27,74,22,1,6
3765,Eduardo Filipe Quaresma Coimbra Simões,CB,2002-03-02,74,19,1,6
3766,Thomas Kaminski,GK,1992-10-23,72,28,1,6
3767,Patrick Farkas,"RB, RM, LB",1992-09-09,72,28,1,6
3768,Lukas Hinterseer,ST,1991-03-28,72,30,1,6
3769,Cristian Chagas Tarouco,CB,1988-03-12,72,33,1,6
3770,Nuno Alexandre Tavares Mendes,"LWB, LM",2002-06-19,73,19,1,6
3771,Arsénio Martins Lafuente Nunes,RM,1989-08-30,72,31,1,6
3772,Aílton Ferreira Silva,LB,1995-03-16,72,26,1,6
3773,Marco Mancosu,CAM,1988-08-22,72,33,1,6
3774,Philipp Wiesinger,CB,1994-05-23,74,27,1,6
3775,Paul Lasne,"CM, LWB",1989-01-16,73,32,1,6
3776,Marlon Javier Piedrahita Londoño,RB,1985-06-13,72,36,1,6
3777,Víctor Hugo Ayala Núñez,"CDM, CM",1988-01-01,72,33,1,6
3778,Sebastião de Freitas Couto Júnior,"LM, ST",1992-06-08,72,29,1,6
3779,Nicolás Pasquini,"LB, LWB",1991-01-02,72,30,1,6
3780,Fernando Henrique Boldrin,"CAM, RM",1989-02-23,72,32,1,6
3781,Fidel Chaves de la Torre,"LM, LWB, CM",1989-10-27,72,31,1,6
3782,Antonio Manuel Luna Rodríguez,"LB, LM",1991-03-17,72,30,1,6
3783,Ahmed Naser Mahmoud Al Shenawy,GK,1991-05-14,72,30,1,6
3784,Marco André Rocha Pereira,GK,1987-01-12,72,34,1,6
3785,Collins Ngoran Suiru Fai,"RB, LB",1992-08-13,72,29,1,6
3786,Omar Maher Khribin,ST,1994-01-15,74,27,1,6
3787,Leandre Geal Tawamba Kana,ST,1989-12-20,72,31,1,6
3788,Fabien Lemoine,"CDM, CM",1987-03-16,72,34,1,6
3789,Fernando Torrent Guidi,RB,1991-10-02,72,29,1,6
3790,Antonino Ragusa,"RW, LW",1990-03-27,72,31,1,6
3791,Mahmoud Alaa Eldin,CB,1991-01-28,72,30,1,6
3792,Bertrand Yves Baraye,"RW, LW",1992-06-22,72,29,1,6
3793,Anderson Esiti,"CDM, CM",1994-05-24,75,27,1,6
3794,Paolito Jesus Serra Fonseca,CB,1992-02-29,72,29,1,6
3795,Duško Tošić,CB,1985-01-19,72,36,1,6
3796,Thulani Caleeb Serero,"CM, CDM",1990-04-11,72,31,1,6
3797,Tiago Rafael Maia da Silva,"CAM, CM",1993-06-02,73,28,1,6
3798,Stefan Mugoša,ST,1992-02-26,72,29,1,6
3799,Jonathan Hogg,"CDM, CM",1988-12-06,72,32,1,6
3800,Lewis Harry Holtby,"CAM, CM",1990-09-18,72,30,1,6
3801,Hussein El Shahat,"RW, RM",1992-06-21,72,29,1,6
3802,Franco Soldano,"ST, CF",1994-09-14,74,26,1,6
3803,Stefano Magnasco Galindo,"RB, LB",1992-09-28,72,28,1,6
3804,曹赟定,"LM, LW",1989-11-22,72,31,1,6
3805,Lucas Ezequiel Piovi,"CDM, CM",1992-08-20,73,29,1,6
3806,Alessandro Schöpf,"CM, RM, RWB",1994-02-07,75,27,1,6
3807,Diogo Filipe Rocha Costa,"RW, LW",1995-05-03,74,26,1,6
3808,Stanislav Iljutcenko,ST,1990-08-13,72,31,1,6
3809,Stelios Kitsiou,"RB, RM",1993-09-28,72,27,1,6
3810,Víctor Yoshimar Yotún Flores,"CDM, CM, LB",1990-04-07,73,31,1,6
3811,Gyasi Zardes,ST,1991-09-02,72,29,1,6
3812,Walter Ariel Bou,ST,1993-08-25,73,27,1,6
3813,Ladislav Krejčí,"LB, LM, LW",1992-07-05,73,29,1,6
3814,José Carlos Lazo Romero,"LM, CAM",1996-02-16,73,25,1,6
3815,Jordan Rolly Botaka,"RM, CAM, RB",1993-06-24,72,28,1,6
3816,Assane Dioussé El Hadji,"CM, CDM",1997-09-20,73,23,1,6
3817,Noah Joel Sarenren Bazee,RM,1996-08-21,72,25,1,6
3818,Saido Berahino,"ST, CAM, LM",1993-08-04,72,28,1,6
3819,Enzo Pablo Roco Roco,CB,1992-08-16,72,29,1,6
3820,James Robert Holland,CM,1989-05-15,72,32,1,6
3821,Alejandro Arribas Garrido,CB,1989-05-01,71,32,1,6
3822,Jony Allison Reitosa Ribeiro,RB,1992-02-29,71,29,1,6
3823,Laureano Sanabria Ruiz,"RB, RWB, RM",1985-03-22,71,36,1,6
3824,Asier Villalibre Molina,ST,1997-09-30,73,23,1,6
3825,Harlem-Eddy Gnohéré,ST,1988-02-21,71,33,1,6
3826,Jan Sýkora,"LM, RM, CAM",1993-12-29,71,27,1,6
3827,Jesús Miguel Soraire,CM,1988-12-03,71,32,1,6
3828,Luka Ivanušec,"CAM, CM, LM",1998-11-26,74,22,1,6
3829,Alexander David González Sibulo,RB,1992-09-13,71,28,1,6
3830,Manuel Benson Hedilazio,"RM, RW, LW",1997-03-28,72,24,1,6
3831,Facundo Axel Medina,"CB, LB",1999-05-28,73,22,1,6
3832,Nicolás Blandi,ST,1990-01-13,71,31,1,6
3833,Jacob Murphy,"RW, LW, RM",1995-02-24,72,26,1,6
3834,Lucas Alves de Araújo,CB,1992-07-22,73,29,1,6
3835,Orkan Çınar,RM,1996-01-29,72,25,1,6
3836,Ronaël Julien Pierre-Gabriel,"RB, LB, CB",1998-06-13,71,23,1,6
3837,Santiago Comesaña Veiga,"CM, CDM",1996-10-05,73,24,1,6
3838,Denis Odoi,"RB, CB",1988-05-27,71,33,1,6
3839,Lasse Sobiech,CB,1991-01-18,71,30,1,6
3840,Ahmad Benali,"CM, CDM",1992-02-07,74,29,1,6
3841,Kamil Jóźwiak,"LM, RM",1998-04-22,72,23,1,6
3842,Gideon Jung,"CB, CDM",1994-09-12,73,26,1,6
3843,Alexis Pedro Canelo,"CF, ST, LW",1992-02-03,71,29,1,6
3844,Sven van Beek,CB,1994-07-28,72,27,1,6
3845,Benjamin Leroy,GK,1989-04-07,71,32,1,6
3846,Soner Aydoğdu,"CDM, CM",1991-01-05,72,30,1,6
3847,Joe Williams,"CDM, CM, CAM",1996-12-08,72,24,1,6
3848,Nicolás Emanuel Fernández,"ST, LW",1996-02-08,74,25,1,6
3849,Aitor Cantalapiedra Fernández,RW,1996-02-10,73,25,1,6
3850,Jelle Vossen,ST,1989-03-22,71,32,1,6
3851,José Antonio Rodríguez Romero,GK,1992-07-04,71,29,1,6
3852,森重 真人,CB,1987-05-21,71,34,1,6
3853,Rodrigo Emanuel Cecchini,"CDM, CM",1996-12-24,72,24,1,6
3854,Ilombé Mboyo,"ST, LM",1987-04-27,71,34,1,6
3855,Adam Davies,GK,1992-07-17,71,29,1,6
3856,Ricardo Gabriel Álvarez,"CAM, CM",1988-04-12,71,33,1,6
3857,Morten Thorsby,"CM, RM",1996-05-05,75,25,1,6
3858,Víctor Emanuel Aguilera,CB,1989-06-11,71,32,1,6
3859,Héber Araújo dos Santos,"ST, CF",1991-08-10,71,30,1,6
3860,Jadson Cristiano Silva de Morais,CB,1991-11-05,72,29,1,6
3861,Diego Antonio Reyes Rosales,CB,1992-09-19,73,28,1,6
3862,Matt Miazga,CB,1995-07-19,73,26,1,6
3863,Philipp Hofmann,ST,1993-03-30,71,28,1,6
3864,Pieter Gerkens,"CAM, CF, CM",1995-02-17,73,26,1,6
3865,Kevin Mac Allister,"LB, RB",1997-11-07,71,23,1,6
3866,Sergiy Rybalka,"CAM, CDM, CM",1990-04-01,73,31,1,6
3867,Damián Rodrigo Díaz,"CAM, RM, LM",1986-05-01,72,35,1,6
3868,Nelson Fernando Acevedo,"CM, CDM",1988-07-11,72,33,1,6
3869,Riley McGree,"CM, RM, CAM",1998-11-02,76,22,1,6
3870,Jean Carlos de Souza Irmer,CDM,1994-09-26,74,26,1,6
3871,Ján Greguš,"CM, CDM",1991-01-29,71,30,1,6
3872,Karim Ansarifard,ST,1990-04-03,71,31,1,6
3873,Eric Joel Andersson,RB,1996-11-11,72,24,1,6
3874,Lyanco Evangelista Silveira Neves Vojnović,CB,1997-02-01,73,24,1,6
3875,Filip Kiss,"CDM, CB",1990-10-13,71,30,1,6
3876,Jack Alexander Price,"CDM, CM",1992-12-19,72,28,1,6
3877,Iver Fossum,CM,1996-07-15,73,25,1,6
3878,Joseph Willock,"CAM, CM",1999-08-20,73,22,1,6
3879,고요한 高约翰,"RM, CM, ST",1988-03-10,71,33,1,6
3880,Loïck Landre,CB,1992-05-05,73,29,1,6
3881,Emiliano Daniel Velázquez Maldonado,CB,1994-04-30,73,27,1,6
3882,David González Giraldo,GK,1982-07-20,71,39,1,6
3883,Dejan Ljubičić,"CDM, CM, CB",1997-10-08,72,23,1,6
3884,Frank Thierry Boya,"CDM, CM, CB",1996-07-01,73,25,1,6
3885,Dennis Appiah,RB,1992-06-09,71,29,1,6
3886,Issam Chebake,RB,1989-10-12,71,31,1,6
3887,Sotirios Papagiannopoulos,CB,1990-09-05,71,30,1,6
3888,Jamie Paterson,"CAM, CM, LM",1991-12-20,71,29,1,6
3889,Chris Jörg Löwe,"LB, LWB, LM",1989-04-16,71,32,1,6
3890,Robert Leipertz,"RM, LM, ST",1993-02-01,71,28,1,6
3891,Samir Memišević,"CB, CDM",1993-08-13,73,28,1,6
3892,Steven Skrzybski,"ST, RM",1992-11-18,73,28,1,6
3893,Iago Azevedo dos Santos,CB,1992-05-22,73,29,1,6
3894,Kelvin Leerdam,"RB, LB",1990-06-24,71,31,1,6
3895,Nicolai Søberg Poulsen,CDM,1993-08-15,72,28,1,6
3896,Elierce Barbosa de Souza,"CM, CDM",1988-03-08,71,33,1,6
3897,曾诚,GK,1987-01-08,71,34,1,6
3898,Yan Valery,"RWB, RB",1999-02-22,71,22,1,6
3899,Yussif Raman Chibsah,"CM, CDM",1993-03-10,75,28,1,6
3900,Ricardo Jorge Pires Gomes,"ST, LW",1991-12-18,71,29,1,6
3901,Pedro De la Vega,"RW, LW",2001-02-07,72,20,1,6
3902,Antonin Bobichon,"CM, LM",1995-09-14,75,25,1,6
3903,Ahmed Eissa El Mohamady Abdel Fattah,"RB, RM, RWB",1987-09-09,71,33,1,6
3904,Gustavo Lucas Domingues Piazón,"RW, CAM",1994-01-20,73,27,1,6
3905,Guillermo Luis Ortíz,CB,1992-08-09,73,29,1,6
3906,Zaydou Youssouf,"CM, RM",1999-07-11,73,22,1,6
3907,Daniel Sánchez Ayala,CB,1990-11-07,72,30,1,6
